Geography,<50% FPL,50-74% FPL,75-99% FPL,100-124% FPL,125-149% FPL,150-199% FPL,200+% FPL
City of Carlsbad,0.051,0.009,0.019,0.022,0.019,0.044,0.836
City of Chula Vista,0.05,0.025,0.048,0.04,0.044,0.104,0.69
City of Coronado,0.038,0.007,0.013,0.014,0.026,0.061,0.842
City of Del Mar,0.082,0,0,0.044,0,0.012,0.862
City of El Cajon,0.109,0.071,0.062,0.07,0.061,0.101,0.527
City of Encinitas,0.04,0.013,0.02,0.023,0.02,0.057,0.827
City of Escondido,0.082,0.038,0.057,0.067,0.07,0.12,0.566
City of Imperial Beach,0.083,0.059,0.053,0.073,0.063,0.118,0.551
City of La Mesa,0.046,0.028,0.046,0.053,0.045,0.089,0.693
City of Lemon Grove,0.061,0.022,0.053,0.031,0.062,0.123,0.648
City of National City,0.095,0.05,0.097,0.066,0.075,0.144,0.473
City of Oceanside,0.08,0.019,0.037,0.053,0.039,0.1,0.671
City of Poway,0.027,0.013,0.02,0.044,0.026,0.057,0.813
City of San Diego,0.07,0.032,0.047,0.043,0.046,0.082,0.679
City of San Marcos,0.088,0.024,0.037,0.031,0.053,0.098,0.67
City of Santee,0.031,0.013,0.026,0.019,0.036,0.066,0.809
City of Solana Beach,0.033,0.014,0.019,0.029,0.021,0.054,0.831
City of Vista,0.084,0.032,0.054,0.06,0.066,0.122,0.581
